
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_G

1: 5.0
.1: 0.0
.2: 0.0
.3: 0.0
.4: 0.0
.5: 0.0
.6: 1.0
.7: 1.0
.8: 1.0
.9: 1.0
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_B

1: 5.0
.1: 1.0
.2: 1.0
.3: 1.0
.4: 1.0
.5: 1.0
.6: 5.0
.7: 5.0
.8: 5.0
.9: 5.0
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_A

1: 5.0
.1: 0.0
.2: 0.0
.3: 0.0
.4: 0.0
.5: 0.0
.6: 1.0
.7: 5.0
.8: 5.0
.9: 5.0
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_D

1: 5.0
.1: 0.0
.2: 0.0
.3: 5.0
.4: 5.0
.5: 5.0
.6: 5.0
.7: 5.0
.8: 5.0
.9: 5.0
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_C

1: 5.0
.1: 0.0
.2: 5.0
.3: 5.0
.4: 5.0
.5: 5.0
.6: 5.0
.7: 5.0
.8: 5.0
.9: 5.0
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_F

1: 5.0
.1: 0.0
.2: 0.0
.3: 1.0
.4: 1.0
.5: 1.0
.6: 1.0
.7: 1.0
.8: 5.0
.9: 5.0
Cumulative Distribution Function CASE: AUGMENTED_PRAKS_GRAPH_CASE_E

1: 5.0
.1: 0.0
.2: 0.0
.3: 0.0
.4: 0.0
.5: 0.0
.6: 0.0
.7: 0.0
.8: 0.0
.9: 5.0
